gene_set_id,biological_process
HALLMARK_MTORC1_SIGNALING,signaling
HALLMARK_OXIDATIVE_PHOSPHORYLATION,metabolism
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,metabolism
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,metabolism
HALLMARK_MYC_TARGETS_V1,cell division
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,stress response
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,stress response
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,stress response
REACTOME_PERK_REGULATES_GENE_EXPRESSION,stress response
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,stress response
